Date,Close/Last,Volume,Open,High,Low
01/08/2022,,3000000,,,
01/07/2022,$140.62,12137310.00,$159.77,$160.31,$132.5
01/06/2022,$131.03,6051480.00,$132.84,$137.7,$121.14
01/05/2022,$129.37,3396400.00,$148.39,$148.85,$129.1501
01/04/2022,$148.91,1834894.00,$152.17,$152.99,$143.05
01/03/2022,$152.84,1417001.00,$149.23,$159.38,$149.21
12/31/2021,$148.39,1393964.00,$153.62,$156.73,$148.1
12/30/2021,$155.33,1561882.00,$151,$160,$150
12/29/2021,$153.93,2037406.00,$147.85,$155.49,$142.14
12/28/2021,$146.46,1334472.00,$147.5,$157.41,$146.41
12/27/2021,$148.31,1615449.00,$152,$152.6211,$140
12/23/2021,$152.14,1055539.00,$154,$155,$146.02
12/22/2021,$154,1047154.00,$158.33,$159.1545,$152.12
12/21/2021,$158.12,1430238.00,$157.06,$160.25,$155.14
12/20/2021,$157.14,1828561.00,$153.19,$159.68,$149.7
,$155.64,4311620.00,$143.75,$158.5656,$139.331
12/16/2021,$144.59,2164762.00,$152.93,$154.44,$142.13
12/15/2021,$148.59,2765992.00,$147.46,$152,$141.12
12/14/2021,$147.69,6512133.00,$131,$150.3736,$129.5
12/13/2021,$136.88,5486201.00,$160.33,$160.89,$135.0701
12/10/2021,$159.01,4526860.00,$159.83,$162.3,$148
13/10/2021,,,,,
