DATE,SP500,S&UP10%
28/12/2016,2249.92,2474.912
29/12/2016,2249.26,2474.186
30/12/2016,2238.83,2462.713
03/01/2017,2257.83,2483.613
04/01/2017,2270.75,2497.825
05/01/2017,2269,2495.9
06/01/2017,2276.98,2504.678
09/01/2017,2268.9,2495.79
10/01/2017,2268.9,2495.79
11/01/2017,2275.32,2502.852
12/01/2017,2270.44,2497.484
13/01/2017,2274.64,2502.104
17/01/2017,2267.89,2494.679
18/01/2017,2271.89,2499.079
19/01/2017,2263.69,2490.059
20/01/2017,2271.31,2498.441
23/01/2017,2265.2,2491.72
24/01/2017,2280.07,2508.077
25/01/2017,2298.37,2528.207
26/01/2017,2296.68,2526.348
27/01/2017,2294.69,2524.159
30/01/2017,2280.9,2508.99
31/01/2017,2278.87,2506.757
01/02/2017,2279.55,2507.505
02/02/2017,2280.85,2508.935
03/02/2017,2297.42,2527.162
06/02/2017,2292.56,2521.816
07/02/2017,2293.08,2522.388
08/02/2017,2294.67,2524.137
09/02/2017,2307.87,2538.657
10/02/2017,2316.1,2547.71
13/02/2017,2328.25,2561.075
14/02/2017,2337.58,2571.338
15/02/2017,2349.25,2584.175
16/02/2017,2347.22,2581.942
17/02/2017,2351.16,2586.276
21/02/2017,2365.38,2601.918
22/02/2017,2362.82,2599.102
23/02/2017,2363.81,2600.191
24/02/2017,2367.34,2604.074
27/02/2017,2369.75,2606.725
28/02/2017,2363.64,2600.004
01/03/2017,2395.96,2635.556
02/03/2017,2381.92,2620.112
03/03/2017,2383.12,2621.432
06/03/2017,2375.31,2612.841
07/03/2017,2368.39,2605.229
08/03/2017,2362.98,2599.278
09/03/2017,2364.87,2601.357
10/03/2017,2372.6,2609.86
13/03/2017,2373.47,2610.817
14/03/2017,2365.45,2601.995
15/03/2017,2385.26,2623.786
16/03/2017,2381.38,2619.518
17/03/2017,2378.25,2616.075
20/03/2017,2373.47,2610.817
21/03/2017,2344.02,2578.422
22/03/2017,2348.45,2583.295
23/03/2017,2345.96,2580.556
24/03/2017,2343.98,2578.378
27/03/2017,2341.59,2575.749
28/03/2017,2358.57,2594.427
29/03/2017,2361.13,2597.243
30/03/2017,2368.06,2604.866
31/03/2017,2362.72,2598.992
03/04/2017,2358.84,2594.724
04/04/2017,2360.16,2596.176
05/04/2017,2352.95,2588.245
06/04/2017,2357.49,2593.239
07/04/2017,2355.54,2591.094
10/04/2017,2357.16,2592.876
11/04/2017,2353.78,2589.158
12/04/2017,2344.93,2579.423
13/04/2017,2328.95,2561.845
17/04/2017,2349.01,2583.911
18/04/2017,2342.19,2576.409
19/04/2017,2338.17,2571.987
20/04/2017,2355.84,2591.424
21/04/2017,2348.69,2583.559
24/04/2017,2374.15,2611.565
25/04/2017,2388.61,2627.471
26/04/2017,2387.45,2626.195
27/04/2017,2388.77,2627.647
28/04/2017,2384.2,2622.62
01/05/2017,2388.33,2627.163
02/05/2017,2391.17,2630.287
03/05/2017,2388.13,2626.943
04/05/2017,2389.52,2628.472
05/05/2017,2399.29,2639.219
08/05/2017,2399.38,2639.318
09/05/2017,2396.92,2636.612
10/05/2017,2399.63,2639.593
11/05/2017,2394.44,2633.884
12/05/2017,2390.9,2629.99
