,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
128,129,Mauritania,4.375,0.54,1.113,0.425,0.18600000000000003,0.129,0.122
129,130,Sri Lanka,4.327,0.898,1.195,0.792,0.529,0.253,0.049
130,131,Congo (Kinshasa),4.311,0.062,0.833,0.27699999999999997,0.365,0.254,0.081
131,132,Swaziland,4.308,0.828,1.065,0.21600000000000003,0.3,0.067,0.147
132,133,Myanmar,4.308,0.6779999999999999,1.0979999999999999,0.495,0.597,0.57,0.188
133,134,Comoros,4.289,0.41600000000000004,0.723,0.43700000000000006,0.18100000000000002,0.259,0.1
134,135,Togo,4.187,0.268,0.5479999999999999,0.34299999999999997,0.304,0.201,0.115
135,136,Ethiopia,4.186,0.315,1.001,0.484,0.413,0.228,0.11699999999999999
136,137,Madagascar,4.166,0.245,0.8240000000000001,0.501,0.193,0.191,0.076
137,138,Egypt,4.151,0.875,0.983,0.597,0.374,0.069,0.095
138,139,Sierra Leone,3.926,0.24100000000000002,0.748,0.204,0.382,0.258,0.048
139,140,Burundi,3.775,0.0,0.40399999999999997,0.295,0.275,0.187,0.212
140,141,Zambia,3.759,0.537,0.8959999999999999,0.364,0.491,0.251,0.087
141,142,Haiti,3.721,0.285,0.647,0.374,0.16899999999999998,0.46399999999999997,0.162
142,143,Lesotho,3.653,0.455,1.089,0.10099999999999999,0.409,0.10300000000000001,0.05
143,144,India,3.573,0.731,0.644,0.541,0.581,0.237,0.106
144,145,Malawi,3.5380000000000003,0.177,0.53,0.446,0.48700000000000004,0.213,0.132
145,146,Yemen,3.5269999999999997,0.39299999999999996,1.177,0.415,0.244,0.095,0.087
146,147,Botswana,3.4789999999999996,0.998,1.0859999999999999,0.494,0.509,0.033,0.102
147,148,Tanzania,3.4760000000000004,0.457,0.873,0.44299999999999995,0.509,0.272,0.204
148,149,Central African Republic,3.4760000000000004,0.040999999999999995,0.0,0.0,0.293,0.254,0.027999999999999997
149,150,Rwanda,3.312,0.34299999999999997,0.523,0.5720000000000001,0.604,0.23600000000000002,0.486
150,151,Zimbabwe,3.299,0.426,1.048,0.375,0.377,0.151,0.081
151,152,South Sudan,2.8169999999999997,0.289,0.5529999999999999,0.209,0.066,0.21,0.111
152,153,Afghanistan,2.5669999999999997,0.301,0.35600000000000004,0.266,0.0,0.135,0.001
