,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
0,1,Finland,7.809,1.285,1.5,0.961,0.662,0.16,0.478
1,2,Denmark,7.646,1.327,1.5030000000000001,0.9790000000000001,0.665,0.243,0.495
2,3,Switzerland,7.56,1.391,1.472,1.041,0.629,0.26899999999999996,0.408
3,4,Iceland,7.504,1.327,1.548,1.001,0.662,0.36200000000000004,0.145
4,5,Norway,7.4879999999999995,1.4240000000000002,1.495,1.008,0.67,0.28800000000000003,0.434
5,6,Netherlands,7.449,1.339,1.464,0.976,0.614,0.336,0.369
6,7,Sweden,7.353,1.3219999999999998,1.433,0.986,0.65,0.273,0.442
7,8,New Zealand,7.3,1.242,1.4869999999999999,1.008,0.647,0.326,0.461
8,9,Austria,7.294,1.317,1.4369999999999998,1.001,0.603,0.256,0.281
9,10,Luxembourg,7.2379999999999995,1.537,1.3880000000000001,0.986,0.61,0.196,0.36700000000000005
10,11,Canada,7.232,1.3019999999999998,1.435,1.023,0.644,0.282,0.35200000000000004
11,12,Australia,7.223,1.31,1.4769999999999999,1.023,0.622,0.325,0.336
12,13,United Kingdom,7.165,1.273,1.4580000000000002,0.976,0.525,0.373,0.32299999999999995
13,14,Israel,7.129,1.216,1.403,1.008,0.42100000000000004,0.267,0.1
14,15,Costa Rica,7.121,0.981,1.375,0.94,0.645,0.131,0.096
15,16,Ireland,7.093999999999999,1.4469999999999998,1.4709999999999999,0.976,0.588,0.295,0.373
16,17,Germany,7.0760000000000005,1.314,1.369,0.972,0.564,0.252,0.309
17,18,United States,6.94,1.374,1.405,0.8320000000000001,0.535,0.298,0.152
18,19,Czech Republic,6.9110000000000005,1.212,1.405,0.895,0.506,0.046,0.05
19,20,Belgium,6.864,1.296,1.399,0.965,0.5,0.147,0.209
20,21,United Arab Emirates,6.791,1.431,1.251,0.7879999999999999,0.653,0.281,0.22
21,22,Malta,6.773,1.253,1.443,0.972,0.633,0.341,0.179
22,23,France,6.664,1.268,1.459,1.03,0.514,0.113,0.22699999999999998
23,24,Mexico,6.465,1.024,1.226,0.8320000000000001,0.5539999999999999,0.083,0.083
24,25,Taiwan,6.455,1.327,1.358,0.878,0.449,0.151,0.132
