,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
0,1,Finland,7.809,1.285,1.5,0.961,0.662,0.16,0.478
1,2,Denmark,7.646,1.327,1.5030000000000001,0.9790000000000001,0.665,0.243,0.495
2,3,Switzerland,7.56,1.391,1.472,1.041,0.629,0.26899999999999996,0.408
3,4,Iceland,7.504,1.327,1.548,1.001,0.662,0.36200000000000004,0.145
4,5,Norway,7.4879999999999995,1.4240000000000002,1.495,1.008,0.67,0.28800000000000003,0.434
5,6,Netherlands,7.449,1.339,1.464,0.976,0.614,0.336,0.369
6,7,Sweden,7.353,1.3219999999999998,1.433,0.986,0.65,0.273,0.442
7,8,New Zealand,7.3,1.242,1.4869999999999999,1.008,0.647,0.326,0.461
8,9,Austria,7.294,1.317,1.4369999999999998,1.001,0.603,0.256,0.281
9,10,Luxembourg,7.2379999999999995,1.537,1.3880000000000001,0.986,0.61,0.196,0.36700000000000005
