numdate,polarity
01/08/2021,0.1379853
02/08/2021,0.0768802
03/08/2021,0.1420994
04/08/2021,0.1190929
05/08/2021,0.126139
06/08/2021,0.0801873
07/08/2021,0.0936762
08/08/2021,0.0831432
09/08/2021,0.0777298
10/08/2021,0.087009
11/08/2021,0.1497543
12/08/2021,0.0418057
13/08/2021,0.1202591
14/08/2021,0.0824137
15/08/2021,0.1208354
16/08/2021,0.1014514
17/08/2021,0.1143846
18/08/2021,0.1269597
19/08/2021,0.1131015
20/08/2021,0.0915413
21/08/2021,0.0680475
01/09/2021,0.1576571
02/09/2021,0.11344
03/09/2021,0.105575
04/09/2021,0.0839262
05/09/2021,0.0913594
06/09/2021,0.080213
07/09/2021,0.1330718
08/09/2021,0.1111149
09/09/2021,0.0916166
10/09/2021,0.0850588
11/09/2021,0.1435277
12/09/2021,0.1190515
13/09/2021,0.0869812
14/09/2021,0.109371
15/09/2021,0.1164015
16/09/2021,0.0920622
17/09/2021,0.0716929
18/09/2021,0.1025954
19/09/2021,0.1267818
20/09/2021,0.1137779
21/09/2021,0.1034866
22/09/2021,0.1034962
23/09/2021,0.1106232
24/09/2021,0.1033513
25/09/2021,0.0604894
26/09/2021,0.1331496
27/09/2021,0.0852943
28/09/2021,0.1330785
29/09/2021,0.1065961
30/09/2021,0.1279748
01/10/2021,0.0937414
02/10/2021,0.1587792
03/10/2021,0.1295931
04/10/2021,0.105929
05/10/2021,0.0872313
06/10/2021,0.0742108
07/10/2021,0.1050018
08/10/2021,0.0868447
09/10/2021,0.0962107
10/10/2021,0.1349098
11/10/2021,0.1026454
12/10/2021,0.0965048
13/10/2021,0.1151265
14/10/2021,0.1394327
15/10/2021,0.1023033
16/10/2021,0.1727317
17/10/2021,0.1089144
18/10/2021,0.1210424
19/10/2021,0.1397584
20/10/2021,0.1032295
21/10/2021,0.0746964
22/10/2021,0.1100472
23/10/2021,0.1267914
24/10/2021,0.1220048
25/10/2021,0.0875427
26/10/2021,0.0887993
27/10/2021,0.1055801
28/10/2021,0.0916558
29/10/2021,0.1426401
01/11/2021,0.0858614
02/11/2021,0.1019358
03/11/2021,0.1195588
04/11/2021,0.1015134
05/11/2021,0.0799277
06/11/2021,0.1055439
07/11/2021,0.1129945
08/11/2021,0.1208331
09/11/2021,0.1163919
10/11/2021,0.095793
11/11/2021,0.0985144
12/11/2021,0.0892575
13/11/2021,0.1301468
14/11/2021,0.1019894
15/11/2021,0.0878119
16/11/2021,0.1018986
17/11/2021,0.1315417
18/11/2021,0.1306182
19/11/2021,0.1022547
20/11/2021,0.0784605
21/11/2021,0.0988473
22/11/2021,0.1203646
23/11/2021,0.0899981
24/11/2021,0.0952371
25/11/2021,0.1537893
26/11/2021,0.0768384
27/11/2021,0.1056221
28/11/2021,0.0944531
29/11/2021,0.1287169
30/11/2021,0.1055282
01/12/2021,0.1565396
02/12/2021,0.0940931
03/12/2021,0.0932591
04/12/2021,0.0900565
05/12/2021,0.0762872
06/12/2021,0.1215485
07/12/2021,0.1049721
08/12/2021,0.0977848
09/12/2021,0.1166739
10/12/2021,0.0906014
11/12/2021,0.1568454
12/12/2021,0.1175652
13/12/2021,0.1157094
14/12/2021,0.1055998
15/12/2021,0.1022117
16/12/2021,0.1307998
17/12/2021,0.1285166
18/12/2021,0.1371959
19/12/2021,0.1391475
20/12/2021,0.075725
21/12/2021,0.097996
22/12/2021,0.0935164
23/12/2021,0.094066
24/12/2021,0.1055332
25/12/2021,0.0983876
26/12/2021,0.133945
27/12/2021,0.1217949
28/12/2021,0.0950487
29/12/2021,0.1143165
30/12/2021,0.0878204
31/12/2021,0.114764
