,numdate,pol_chn,sp_chn
20,2021-01-09,1.3168683640104342,0.0003117620525883158
50,2021-01-10,-0.2675011017794128,0.011491477734391298
79,2021-01-11,-0.39805566597331343,0.0018000686154020507
109,2021-01-12,0.4833911693746318,-0.011815195971097037
0,2021-02-08,-0.4428377515575934,-0.0018428943907755624
21,2021-02-09,-0.2804637406117454,0.0028425606033477546
80,2021-02-11,0.18721334616020724,0.0036803672564356127
110,2021-02-12,-0.3989182289976466,0.014194423271231882
1,2021-03-08,0.8483224549363815,0.008203484714484954
22,2021-03-09,-0.06933180535966155,-0.000335026835208585
81,2021-03-11,0.17288332460234757,0.00646129593037692
111,2021-03-12,-0.008863561727693092,-0.00844858097922263
2,2021-04-08,-0.1619042726429527,-0.00463244520307915
53,2021-04-10,-0.18260308612109766,-0.012985880322420762
82,2021-04-11,-0.15093326463631285,0.004181891914508462
3,2021-05-08,0.059164736100976834,0.006005460335342772
54,2021-05-10,-0.17651162571156154,0.010524455523362564
83,2021-05-11,-0.212638922546186,0.0037328581257503046
4,2021-06-08,-0.3642941516898025,0.0016752839177258672
55,2021-06-10,-0.1492640829610471,0.004102887438675262
114,2021-06-12,0.5933013664153357,0.011730928977641941
26,2021-07-09,0.6589804645132336,-0.003395488410139813
56,2021-07-10,0.4149126542228354,0.00829828923697451
115,2021-07-12,-0.13637683722958316,0.020707063007576743
27,2021-08-09,-0.1650003982812287,-0.0013185753191903293
57,2021-08-10,-0.17292179753109005,-0.0019137407494954628
86,2021-08-11,0.06937151808273878,0.0008877005575269603
116,2021-08-12,-0.06846866929403139,0.0030852936469836223
11,2021-08-13,1.8766196954003886,0.0016073241975147479
14,2021-08-16,-0.16041656666837723,0.0026208594449417255
15,2021-08-17,0.12748173016833708,-0.0070607249129965854
16,2021-08-18,0.1099370020090118,-0.010748457761550978
17,2021-08-19,-0.1091543221983039,0.0012567410636163956
18,2021-08-20,-0.19062700317856085,0.008141540696354754
7,2021-09-08,-0.06510935350094771,-0.000939925887858073
28,2021-09-09,-0.17547871617577826,-0.004605599824548556
87,2021-09-11,-0.03675482959553322,-0.0034987345002870374
117,2021-09-12,0.1931701041470657,-0.007181129964413446
32,2021-09-13,-0.26938173815533617,0.0022765095613401787
33,2021-09-14,0.2574096471421412,-0.00574659914561837
34,2021-09-15,0.06428120799846382,0.008473908688851006
35,2021-09-16,-0.2090978209043699,-0.0015510969268194286
36,2021-09-17,-0.22125584659067454,-0.009110924839340617
39,2021-09-20,-0.10256913847255678,-0.016977254629493954
40,2021-09-21,-0.09045078174232435,-0.0008123495489623656
41,2021-09-22,9.276563342508481e-05,0.009519566210937302
42,2021-09-23,0.06886243166415773,0.012134751708511082
43,2021-09-24,-0.06573575886432503,0.0014610090402744635
46,2021-09-27,-0.3594100170034308,-0.0027763563072890074
47,2021-09-28,0.5602273539966915,-0.020364114325326033
48,2021-09-29,-0.19899833556885604,0.001569166228234442
49,2021-09-30,0.20055799414800357,-0.011909731939276913
8,2021-10-08,0.11937763894928333,0.000992701388653705
29,2021-10-09,-0.0715787313652766,-0.0077226435922087555
88,2021-10-11,-0.17697881038113483,-0.008225815057894437
118,2021-10-12,-0.2234647166161413,0.00954911139915815
62,2021-10-13,0.19296138637663618,0.003022536862308023
63,2021-10-14,0.2111260222450957,0.01706311013337003
64,2021-10-15,-0.26628904123638153,0.0074601307719690535
67,2021-10-18,0.11135350330167548,0.0033748045900920953
68,2021-10-19,0.15462350383006274,0.00739335690054066
69,2021-10-20,-0.26137176727838884,0.0036640167447334893
70,2021-10-21,-0.27640451615090655,0.002995906256131331
71,2021-10-22,0.4732597554902245,-0.0010725793335062406
74,2021-10-25,-0.28246511612657865,0.004748179277871856
75,2021-10-26,0.014354138037780517,0.0018197824144636776
76,2021-10-27,0.18897446263652973,-0.005051597996847845
77,2021-10-28,-0.13188375460906,0.009829337739032606
78,2021-10-29,0.5562583055300376,0.0019493431844783693
9,2021-11-08,0.7211357445781468,0.0024680227644109376
60,2021-11-10,-0.2391553467576114,-0.0068657858421348195
89,2021-11-11,0.028409173947991917,0.0005509274303756584
93,2021-11-15,-0.13900954412909572,-1.0677258507119092e-05
94,2021-11-16,0.16041903204463193,0.003865208849406221
95,2021-11-17,0.29090782405253846,-0.0026016294752068125
96,2021-11-18,-0.007020587387877919,0.00338475516511072
97,2021-11-19,-0.21714814627670564,-0.0013986489646171663
100,2021-11-22,0.21768222298434026,-0.0031971323723489764
101,2021-11-23,-0.2522876327425172,0.0016570786727996278
102,2021-11-24,0.05821234003828968,0.002293900697124096
104,2021-11-26,-0.5003657601666696,-0.02272485568312821
107,2021-11-29,0.3627599305898903,0.013200221128189193
108,2021-11-30,-0.18015272275823924,-0.01896130621854386
10,2021-12-08,-0.7208380660855815,0.002952087595835984
61,2021-12-10,-0.05982343095745157,-0.0024167715692277048
90,2021-12-11,-0.09396494319612148,0.007222639253044116
121,2021-12-13,-0.01578528340018992,-0.009136209099282255
122,2021-12-14,-0.08737060256124396,-0.007470598440341258
123,2021-12-15,-0.03208434106882785,0.016348409288555077
124,2021-12-16,0.27969498599475395,-0.00874337823922211
125,2021-12-17,-0.01745568418300325,-0.010287726483131143
128,2021-12-20,-0.4557933128514705,-0.011388032826621375
129,2021-12-21,0.29410366457576753,0.017777943178882483
130,2021-12-22,-0.04571206988040333,0.010180180373954517
131,2021-12-23,0.005877044026502354,0.006223704157936716
135,2021-12-27,-0.09070961961999346,0.01383895602639984
136,2021-12-28,-0.21960032809255547,-0.0010101874482121298
137,2021-12-29,0.20271502924290385,0.0014019033292591576
138,2021-12-30,-0.23177843968281053,-0.002989739331450192
139,2021-12-31,0.3068034306379841,-0.0026262207741385435
