date,wind
2021-01-10,6.6
2021-01-11,5.58
2021-01-12,6.11
2021-01-13,5.41
2021-01-14,3.62
2021-01-15,3.49
2021-01-16,3.7
2021-01-17,4.23
2021-01-18,5.88
2021-01-19,5.62
2021-01-20,3.44
2021-01-21,3.24
2021-01-22,3.15
2021-01-23,3.66
2021-01-24,5.51
2021-01-25,5.14
2021-01-26,4.26
2021-01-27,4.04
2021-01-28,4.59
2021-01-29,5.53
2021-01-30,3.89
2021-01-31,4.28
2021-02-01,6.07
2021-02-02,6.22
2021-02-03,5.16
2021-02-04,4.42
2021-02-05,4.84
2021-02-06,4.7
2021-02-07,5.09
2021-02-08,5.25
2021-02-09,5.3
2021-02-10,6.49
2021-02-11,5.8
2021-02-12,4.81
2021-02-13,4.46
2021-02-14,5.33
2021-02-15,5.41
2021-02-16,6.16
2021-02-17,5.35
2021-02-18,5.86
2021-02-19,7.08
2021-02-20,5.86
2021-02-21,4.6
2021-02-22,4.98
2021-02-23,5.75
2021-02-24,4.74
2021-02-25,3.83
2021-02-26,4.58
2021-02-27,5.48
2021-02-28,4.68
2021-03-01,4.3
2021-03-02,3.58
2021-03-03,4.5
2021-03-04,6.02
2021-03-05,5.59
2021-03-06,5.65
2021-03-07,5.09
2021-03-08,5.12
2021-03-09,4.13
2021-03-10,3.89
2021-03-11,3.12
2021-03-12,2.76
2021-03-13,2.44
2021-03-14,1.05
2021-03-15,1.42
2021-03-16,3.69
2021-03-17,3.73
2021-03-18,2.77
2021-03-19,2.9
2021-03-20,2.53
2021-03-21,3.05
2021-03-22,2.8
2021-03-23,1.8
2021-03-24,2.07
2021-03-25,2.1
2021-03-26,3.52
2021-03-27,2.44
2021-03-28,1.47
2021-03-29,1.57
2021-03-30,1.91
2021-03-31,2.57
2021-04-01,2.08
2021-04-02,1.27
2021-04-03,2.24
2021-04-04,2.49
2021-04-05,1.49
2021-04-06,1.85
2021-04-07,1.89
2021-04-08,1.84
2021-04-09,1.95
2021-04-10,2.08
2021-04-11,2.27
2021-04-12,2.17
2021-04-13,2.62
2021-04-14,2.25
2021-04-15,1.95
2021-04-16,0.89
2021-04-17,1.44
2021-04-18,1.55
2021-04-19,1.7
2021-04-20,3.31
2021-04-21,3.03
2021-04-22,1.28
2021-04-23,2.7
2021-04-24,3.48
2021-04-25,2.77
2021-04-26,2.68
2021-04-27,2.58
2021-04-28,3.27
2021-04-29,2.88
2021-04-30,2.05
