numdate,polarity
01jan2021,.1418866
02jan2021,.1359001
03jan2021,.0926491
04jan2021,.0993987
05jan2021,.1180213
06jan2021,.1089449
07jan2021,.1187359
08jan2021,.108152
09jan2021,.1148576
10jan2021,.1344871
11jan2021,.1264109
12jan2021,.0989534
13jan2021,.1290532
14jan2021,.1106341
15jan2021,.1102854
16jan2021,.1455064
17jan2021,.1185958
18jan2021,.1322719
19jan2021,.1253107
20jan2021,.1206236
21jan2021,.1104857
22jan2021,.1136803
23jan2021,.0971692
24jan2021,.1167027
25jan2021,.124402
26jan2021,.1073812
27jan2021,.0732335
28jan2021,.0739362
29jan2021,.1037792
30jan2021,.0972126
31jan2021,.0897139
01feb2021,.0896762
02feb2021,.1024745
03feb2021,.1076842
04feb2021,.1134682
07feb2021,.1366667
08feb2021,.1153639
09feb2021,.1174834
10feb2021,.1356114
11feb2021,.1066018
12feb2021,.1038315
13feb2021,.1040341
14feb2021,.0999464
15feb2021,.1071416
16feb2021,.1324633
17feb2021,.1123854
18feb2021,.1072706
19feb2021,.103825
20feb2021,.0887461
21feb2021,.1013305
22feb2021,.1261998
23feb2021,.1118803
24feb2021,.1063052
25feb2021,.1139806
26feb2021,.0954989
27feb2021,.1024038
28feb2021,.0208546
02mar2021,.1228956
03mar2021,.0915117
04mar2021,.096897
05mar2021,.112249
07mar2021,.006684
08mar2021,.0988012
09mar2021,.0888758
10mar2021,.0959706
11mar2021,.1084197
12mar2021,.1122147
13mar2021,.12991
14mar2021,.1054494
15mar2021,.1171585
16mar2021,.1151786
17mar2021,.1107948
27mar2021,.0885916
28mar2021,.1026213
29mar2021,.1202528
30mar2021,.1036101
31mar2021,.1050719
01apr2021,.1011427
02apr2021,.1063344
03apr2021,.1071456
04apr2021,.1290475
05apr2021,.1348163
06apr2021,.1323589
07apr2021,.0863081
08apr2021,.107292
09apr2021,.1266761
14apr2021,.1023266
15apr2021,.1251014
16apr2021,.1281341
17apr2021,.1111171
18apr2021,.1223135
19apr2021,.1299416
20apr2021,.113675
21apr2021,.0649851
22apr2021,.1116607
23apr2021,.0827845
24apr2021,.1371944
25apr2021,.1298084
26apr2021,.0801024
27apr2021,.1162167
28apr2021,.1311583
29apr2021,.1041571
30apr2021,.1351032
01may2021,.1379873
02may2021,.1267095
03may2021,.1326891
04may2021,.0905712
05may2021,.1298479
06may2021,.0933738
07may2021,.0871825
08may2021,.1278331
09may2021,.1256082
10may2021,.0973203
11may2021,.099365
12may2021,.121683
13may2021,.1120367
14may2021,.0966402
15may2021,.0658214
16may2021,.1508461
17may2021,.1312266
18may2021,.1021277
19may2021,.1173107
20may2021,.1198131
21may2021,.0881467
22may2021,.1117488
23may2021,.1586156
24may2021,.0954607
25may2021,.1525852
26may2021,.1340651
27may2021,.1206885
28may2021,.0808436
29may2021,.1233122
30may2021,.1331724
31may2021,.1313898
01jun2021,.1402109
02jun2021,.1035597
03jun2021,.0735692
04jun2021,.0770155
05jun2021,.0960488
06jun2021,.1613631
07jun2021,.0924154
08jun2021,.112568
09jun2021,.1148875
10jun2021,.1264708
11jun2021,.1088764
12jun2021,.0881648
13jun2021,.1229342
14jun2021,.1218331
15jun2021,.1100812
16jun2021,.1363053
17jun2021,.0974624
18jun2021,.1082864
19jun2021,.0822149
20jun2021,.1436399
21jun2021,.1148071
22jun2021,.1169228
23jun2021,.0937174
24jun2021,.1182479
25jun2021,.119038
26jun2021,.0869233
27jun2021,.1094618
28jun2021,.1189334
29jun2021,.0875701
30jun2021,.1046036
01jul2021,.1096815
02jul2021,.0878329
03jul2021,.1147907
04jul2021,.1281038
05jul2021,.0992654
06jul2021,.0963212
07jul2021,.1191339
08jul2021,.1091104
09jul2021,.1277553
10jul2021,.1380947
11jul2021,.1223872
12jul2021,.1360164
13jul2021,.101689
14jul2021,.1060961
15jul2021,.0992858
16jul2021,.1050688
17jul2021,.1120205
18jul2021,.1449198
19jul2021,.0876787
20jul2021,.1047688
21jul2021,.1237749
22jul2021,.1047427
23jul2021,.1343438
24jul2021,.1015216
25jul2021,.1154872
26jul2021,.1288205
27jul2021,.0873276
28jul2021,.0763134
29jul2021,.0833759
30jul2021,.0708649
31jul2021,.1039191
01aug2021,.1379853
02aug2021,.0768802
03aug2021,.1420994
04aug2021,.1190929
05aug2021,.126139
06aug2021,.0801873
07aug2021,.0936762
08aug2021,.0831432
09aug2021,.0777298
10aug2021,.087009
11aug2021,.1497543
12aug2021,.0418057
13aug2021,.1202591
14aug2021,.0824137
15aug2021,.1208354
16aug2021,.1014514
17aug2021,.1143846
18aug2021,.1269597
19aug2021,.1131015
20aug2021,.0915413
21aug2021,.0519962
22aug2021,.1850305
23aug2021,.1103332
24aug2021,.0907686
25aug2021,.1016115
26aug2021,.110101
27aug2021,.1299531
28aug2021,.1064228
29aug2021,.1156645
30aug2021,.1412531
01sep2021,.1576571
02sep2021,.11344
03sep2021,.105575
04sep2021,.0839262
05sep2021,.0913594
06sep2021,.080213
07sep2021,.1330718
08sep2021,.1111149
09sep2021,.0916166
10sep2021,.0850588
11sep2021,.1435277
12sep2021,.1190515
13sep2021,.0869812
14sep2021,.109371
15sep2021,.1164015
16sep2021,.0920622
17sep2021,.0716929
18sep2021,.1025954
19sep2021,.1267818
20sep2021,.1137779
21sep2021,.1034866
22sep2021,.1034962
23sep2021,.1106232
24sep2021,.1033513
25sep2021,.0604894
26sep2021,.1331496
27sep2021,.0852943
28sep2021,.1330785
29sep2021,.1065961
30sep2021,.1279748
01oct2021,.0937414
02oct2021,.1587792
03oct2021,.1295931
04oct2021,.105929
05oct2021,.0872313
06oct2021,.0742108
07oct2021,.1050018
08oct2021,.0868447
09oct2021,.0962107
10oct2021,.1349098
11oct2021,.1026454
12oct2021,.0965048
13oct2021,.1151265
14oct2021,.1394327
15oct2021,.1023033
16oct2021,.1727317
17oct2021,.1089144
18oct2021,.1210424
19oct2021,.1397584
20oct2021,.1032295
21oct2021,.0746964
22oct2021,.1100472
23oct2021,.1267914
24oct2021,.1220048
25oct2021,.0875427
26oct2021,.0887993
27oct2021,.1055801
28oct2021,.0916558
29oct2021,.1150062
30oct2021,.1053101
31oct2021,.15263
01nov2021,.0858614
02nov2021,.1019358
03nov2021,.1195588
04nov2021,.1015134
05nov2021,.0799277
06nov2021,.1055439
07nov2021,.1129945
08nov2021,.1208331
09nov2021,.1163919
10nov2021,.095793
11nov2021,.0985144
12nov2021,.0892575
13nov2021,.1301468
14nov2021,.1019894
15nov2021,.0878119
16nov2021,.1018986
17nov2021,.1315417
18nov2021,.1306182
19nov2021,.1022547
20nov2021,.0784605
21nov2021,.0988473
22nov2021,.1203646
23nov2021,.0899981
24nov2021,.0952371
25nov2021,.1537893
26nov2021,.0768384
27nov2021,.1056221
28nov2021,.0944531
29nov2021,.1287169
30nov2021,.1055282
01dec2021,.1565396
02dec2021,.0940931
03dec2021,.0932591
04dec2021,.0900565
05dec2021,.0762872
06dec2021,.1215485
07dec2021,.1049721
08dec2021,.0977848
09dec2021,.1166739
10dec2021,.0906014
11dec2021,.1568454
12dec2021,.1175652
13dec2021,.1157094
14dec2021,.1055998
15dec2021,.1022117
16dec2021,.1307998
17dec2021,.1285166
18dec2021,.1371959
19dec2021,.1391475
20dec2021,.075725
21dec2021,.097996
22dec2021,.0935164
23dec2021,.094066
24dec2021,.1055332
25dec2021,.0983876
26dec2021,.133945
27dec2021,.1217949
28dec2021,.0950487
29dec2021,.1143165
30dec2021,.0878204
31dec2021,.114764
